Dates,0,1,2,3,4
2018-01-14,0.021113805898790323,0.016916191960154467,0.012660741642722923,0.014559706228002664,0.01727428531288521
2018-01-21,0.020399944652016198,0.017408918439459412,0.011952367515930328,0.013904929959831409,0.01679432768286436
2018-01-28,0.025343146363528763,0.020001647018189676,0.008999420736921532,0.013056227620774744,0.015918645988899208
2018-02-04,0.02315874194274843,0.018938442612837197,0.012547307156973015,0.01501567073303463,0.017608367004290776
2018-02-11,0.017291316192545994,0.01962494623838059,0.014569149527011521,0.016616077771662276,0.019291234503092725
2018-02-18,0.020571888145672262,0.018220665074483177,0.014583869812777494,0.01652589007803473,0.019131578399460676
2018-02-25,0.01906408899193587,0.018614489481042048,0.014302816220802166,0.016394242276397086,0.01898472692238506
2018-03-04,0.018817817693055093,0.02018477900273791,0.014596667759684438,0.01763874571095437,0.019880195124796135
2018-03-11,0.016714430401285684,0.019703859583584976,0.015823555819772586,0.017781621630203602,0.02027899473492657
2018-03-18,0.018950116162336585,0.019242873113196474,0.014520106102730718,0.01645629927778699,0.018842645012197033
2018-03-25,0.022210079069326524,0.016006301450311317,0.015326319966467734,0.0165693618714931,0.019069450911945805
2018-04-01,0.02017152737051744,0.01653658343319059,0.014891973898011413,0.015857426465043324,0.018171576522241172
2018-04-08,0.017316067294739758,0.02064785070097979,0.013430917539408952,0.015345204064050114,0.01789240243132116
2018-04-15,0.019081830609970436,0.01649141294893241,0.01533266821662347,0.01610488381390314,0.0186859520748296
2018-04-22,0.0245698313891507,0.009907928420912126,0.01869227102338847,0.01743523805543086,0.019787074706626648
2018-04-29,0.02226652638534845,0.020353765550352218,0.012580925427019121,0.014707112758319043,0.017403736988197888
2018-05-06,0.021425614343986855,0.018682932654145324,0.013978774379961909,0.015918735097278577,0.018397872391313415
2018-05-13,0.019650347507931272,0.016730661140705805,0.014750646462758813,0.015446502965094836,0.018176275569386134
2018-05-20,0.023986277113744917,0.020937107752417933,0.012694151464485121,0.014964774163393995,0.017575690907597048
2018-05-27,0.027526508274178074,0.015305091098612805,0.011362338538528857,0.012786916619189698,0.015554465052926894
2018-06-03,0.020549341386939347,0.02011893997142528,0.013142282728013257,0.014366615215102501,0.01630473412753758
2018-06-10,0.024859305763033288,0.018964675947068965,0.013543376205717376,0.014587420102319778,0.01670494022531329
2018-06-17,0.019443761713337553,0.020040077034163634,0.015706758366884312,0.01626734122800897,0.01885128033794784
2018-06-24,0.021001627667514067,0.03040507611854583,0.007097074570702311,0.012744881665472996,0.015252928523901966
